amplitude,h_minus_6,h_minus_5,h_minus_4,h_minus_3,h_minus_2,h_minus_1,preamar,h_plus_1,h_plus_2,h_plus_3,h_plus_4,h_plus_5,h_plus_6
50,-0.2,-0.3,-0.5,-0.9,-0.8,-0.5,0,-0.7,-1.2,-0.9,-0.5,-0.2,-0.2
60,-0.2,-0.3,-0.5,-0.9,-0.7,-0.5,0,-0.7,-1.1,-0.9,-0.5,-0.2,-0.2
70,-0.2,-0.3,-0.5,-0.8,-0.7,-0.5,0,-0.6,-1.0,-0.8,-0.5,-0.1,-0.1
80,-0.2,-0.3,-0.4,-0.7,-0.6,-0.4,0,-0.6,-1.0,-0.7,-0.4,-0.1,-0.1
90,-0.2,-0.2,-0.4,-0.7,-0.6,-0.4,0,-0.5,-0.9,-0.7,-0.4,-0.1,-0.1
100,-0.2,-0.2,-0.4,-0.6,-0.6,-0.4,0,-0.5,-0.8,-0.6,-0.4,-0.1,-0.1
110,-0.2,-0.2,-0.4,-0.6,-0.5,-0.4,0,-0.5,-0.8,-0.6,-0.4,-0.1,-0.1
120,-0.1,-0.2,-0.3,-0.5,-0.5,-0.3,0,-0.4,-0.7,-0.5,-0.3,-0.1,-0.1
130,-0.1,-0.2,-0.3,-0.5,-0.4,-0.3,0,-0.4,-0.7,-0.5,-0.3,-0.1,-0.1
140,-0.1,-0.2,-0.3,-0.4,-0.4,-0.3,0,-0.3,-0.6,-0.4,-0.3,-0.1,-0.1
150,-0.1,-0.1,-0.2,-0.4,-0.3,-0.2,0,-0.3,-0.6,-0.4,-0.2,-0.1,-0.1
160,-0.1,-0.1,-0.2,-0.3,-0.3,-0.2,0,-0.3,-0.5,-0.3,-0.2,-0.1,-0.1
170,-0.1,-0.1,-0.2,-0.3,-0.3,-0.2,0,-0.2,-0.4,-0.3,-0.2,-0.1,-0.1
180,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,0,-0.2,-0.4,-0.2,-0.1,0,0
190,0,-0.1,-0.1,-0.2,-0.2,-0.1,0,-0.1,-0.3,-0.2,-0.1,0,0
200,0,0,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.2,-0.1,-0.1,0,0
210,0,0,0,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,+0.1,+0.1,0,0,0,+0.1,+0.1,0,0,0
250,0,0,+0.1,+0.1,+0.1,+0.1,0,+0.1,+0.1,+0.1,+0.1,0,0
260,0,+0.1,+0.1,+0.2,+0.1,+0.1,0,+0.1,+0.2,+0.2,+0.1,0,0
270,+0.1,+0.1,+0.1,+0.2,+0.2,+0.1,0,+0.2,+0.3,+0.2,+0.1,0,0
280,+0.1,+0.1,+0.2,+0.3,+0.2,+0.2,0,+0.2,+0.3,+0.3,+0.2,0,0
290,+0.1,+0.1,+0.2,+0.3,+0.2,+0.2,0,+0.2,+0.4,+0.3,+0.2,+0.1,+0.1
300,+0.1,+0.1,+0.2,+0.3,+0.3,+0.2,0,+0.3,+0.5,+0.3,+0.2,+0.1,+0.1
